pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,abs_vmag,sy_jmag,abs_jmag,sy_kmag,abs_kmag,sy_tmag,sy_kepmag,sy_gaiamag,abs_gaiamag,st_parallax_mas,st_rv,st_e_rv,st_rv_source,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,bj_dist_pc,bj_dist_pc_lo,bj_dist_pc_hi,ruwe,ruwe_quality,gaia_aen,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
HIP 65 A b,HIP 65 A,4923860051276772608,4923860051276772608,201248411,,0.1856063,-54.8308228,11.0,7.04580249076553,8.922,4.96780249076553,8.29,4.33580249076553,9.9005,,10.5895,6.63530249076553,16.1641445003657,21.184289932251,0.205289274454117,Gaia,4590.0,4.611,0.18,0.781,0.7242,K4 V,-0.67799,4.1,4.3,-2.8,13.2,61.778804779052706,61.7470588684082,61.8164558410645,0.906189799308777,LO,0.0439017303287983,0.9809734,22.75427,0.78576,Transiting Exoplanet Survey Satellite (TESS),2020,TESS
WASP-136 b,WASP-136,2441013811932929280,2441013811932929280,176220787,,0.325761,-8.9262512,9.974,2.8459006350197,9.016,1.8879006350197,8.805,1.6769006350197,9.4834,,9.81929,2.6911906350197,3.7224557863236,11.2151279449463,0.231902569532394,Gaia,6250.0,3.9,-0.18,1.41,2.39014,F,0.82265,,,,5.4,266.452545166016,264.585418701172,268.203887939453,1.09497511386871,LO,0.104863755404949,5.21536178778,16.81347105,5.5895721,SuperWASP,2016,WASP
KELT-1 b,KELT-1,2881784280929695360,2881784280929695360,432549364,,0.3620995,39.3837953,10.632,3.47621766293628,9.682,2.52621766293628,9.437,2.28121766293628,10.2242,,10.5905,3.43471766293628,3.68363638949412,-14.206672668457,0.774223506450653,Gaia,6516.0,4.228,0.052,1.335,1.471,,0.545,,,,,269.871154785156,268.840942382813,270.949340820313,0.907860517501831,LO,0.0671769976615906,1.217514,12.442,2.76456,KELT,2012,KELT
HATS-34 b,HATS-34,4904523077718046720,4904523077718046720,355703913,,0.7744866,-62.4693167,13.857,5.34145071245144,12.513,3.99745071245144,12.095,3.57945071245144,13.183,,13.679,5.16345071245144,1.94392154885599,19.8131904602051,2.37291431427002,Gaia,5380.0,4.435,0.25,0.955,0.98,,-0.14026,7.7,2.7,-2.7,,504.788970947266,502.074920654297,507.464141845703,1.035520195961,LO,0.0,2.1061607,16.02887,1.5552,HATSouth,2016,HAT
WASP-96 b,WASP-96,4990044668377961984,4990044668377961984,160148385,,1.0465696,-47.3606352,12.569,4.86553435739625,11.267,3.56353435739625,10.914,3.21053435739625,11.9116,,12.3833,4.67983435739625,2.85899004850499,-1.09755945205688,0.497673720121384,Gaia,5540.0,4.42,0.14,1.06,1.05,G8,0.03226,8.0,26.0,-8.0,20.16,347.290679931641,345.401397705078,349.274230957031,1.15458858013153,LO,0.0828705132007599,3.4252602,13.45,2.4264,SuperWASP,2014,WASP
TOI-198 b,TOI-198,2333676738050041728,2333676738049780352,12421862,,2.2715087,-27.1217452,11.688,9.80843156745797,8.655,6.77543156745797,7.856,5.97643156745797,9.92801,,10.9187,9.03913156745797,42.0591543433442,19.7009963989258,0.179072067141533,Gaia,3650.0,4.75,-0.7,0.467,0.441,M0 V,-1.43315,5.3,1.0,-1.0,45.4,23.7636795043945,23.7481784820557,23.7786445617676,1.08565640449524,LO,0.215557262301445,10.2152,1.44,1.631,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
WASP-44 b,WASP-44,2424406513428936832,2424406513428936832,12862099,,3.9032733,-11.9382645,13.096,5.32388011181008,11.702,3.92988011181008,11.341,3.56888011181008,12.3993,,12.8964,5.12428011181008,2.76440701404351,-3.0952045917511,1.32180714607239,Gaia,5420.0,4.494,-0.003,0.935,0.906,G8 V,-0.19777,,,,,358.446197509766,355.844177246094,360.42742919921903,0.955621004104614,LO,0.0825652480125427,2.423804,12.3299,2.2368,SuperWASP,2011,WASP
Gliese 12 b,Gliese 12,2768048564768256512,2768048564768256512,52005579,,3.9579137,13.5576175,12.6,12.1750414657822,8.619,8.19404146578225,7.807,7.38204146578225,10.1769,,11.3963,10.9713414657822,82.1937973813791,51.0411109924316,0.255551218986511,Gaia,3296.0,5.21,-0.32,0.2414,0.2617,M3.0 V,-2.13787,7.0,2.8,-2.2,85.0,12.1616277694702,12.1562757492065,12.1667041778564,1.19781494140625,LO,0.206589609384537,12.761408,0.958,1.2,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
WASP-32 b,WASP-32,2546413408888429696,2546413408888429696,427332229,,3.9617073,1.2005122,11.257,4.0502755595915,10.503,3.2962755595915,10.161,2.9542755595915,11.021,,11.409,4.2022755595915,3.57056315736984,18.2701263427734,0.317001849412918,Gaia,6140.0,4.4,-0.13,0.72,0.95,,0.19345,,,,11.6,276.277099609375,273.121429443359,279.411804199219,1.73263227939606,HI,0.252811789512634,2.71866,10.76064,2.424,SuperWASP,2010,WASP
WASP-158 b,WASP-158,2424621502311961344,2424621502311961344,37718056,,4.1463468,-10.9764226,12.044,3.42078092942837,11.178,2.55478092942837,10.881,2.25778092942837,11.7083,,12.0911,3.46788092942837,1.85097245010038,24.6798458099365,1.02435779571533,Gaia,6350.0,4.3,0.24,1.38,1.39,F6 V,0.48338,1.93,0.93,-0.93,,530.44921875,523.726806640625,536.904663085938,1.74838411808014,HI,0.159955218434334,3.656333,11.99363,3.576,SuperWASP-South,2018,WASP
HD 1397 b,HD 1397,4707634458245031552,4707634458245031552,394137592,HD 1397,4.4471631,-66.3589285,7.79,3.27518633180545,6.442,1.92718633180545,5.988,1.47318633180545,7.1062,,7.59336,3.07854633180545,12.4934338826025,30.6410999298096,0.125326618552208,Gaia,5521.0,3.823,0.29,1.324,2.336,G5 III/IV,0.65992,4.51,0.5,-0.5,,79.9765625,79.8983306884766,80.0998458862305,0.977952301502228,LO,0.122410148382187,11.53533,11.500434,8.6016,Transiting Exoplanet Survey Satellite (TESS),2018,TESS
TOI-6016 b,TOI-6016,428360006379022592,428360006379022592,327369524,,4.5239602,59.7661983,11.886,4.10923305446186,10.629,2.85223305446186,10.224,2.44723305446186,11.3864,,11.9184,4.14163305446186,2.74916214927798,-48.5232315063477,0.44365668296814,Gaia,6110.0,4.19,0.28,1.31,1.51,F,0.4609,0.3,0.1,-0.1,9.1,359.214111328125,357.735748291016,360.7060546875,0.916732251644135,LO,0.0606034658849239,4.023687,13.67495645,5.7,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
WASP-26 b,WASP-26,2416782701664155008,2416782701664155008,32487566,,4.6030424,-15.2674044,11.297,4.30408965439795,10.021,3.02808965439795,9.69,2.69708965439795,10.5853,,10.9935,4.00058965439795,3.9574082355761,9.06587409973145,0.408857345581055,Gaia,6034.0,4.44,0.16,0.86,1.22,G0,0.28725,,,,,250.369873046875,248.620620727539,251.8466796875,0.959235966205597,LO,0.111946828663349,2.7566,13.56289,2.3808565,SuperWASP,2010,WASP
TOI-260 b,TOI-260,2428162410789155328,2428162410789155328,37749396,,4.7730178,-9.9661505,9.9,8.37333082851749,7.376,5.84933082851749,6.549,5.02233082851749,8.4991,,9.3124,7.78573082851749,49.4757490031547,-10.7183780670166,0.191110551357269,Gaia,4026.0,4.45,-0.47,0.616,0.607,K8 V,-1.05899,,,,31.0,20.1991844177246,20.1928730010986,20.2064056396484,0.907834231853485,LO,0.0553448311984539,13.475853,1.71,2.37,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
Qatar-4 b,Qatar-4,385697172809355392,385697172809355392,440113053,,4.859275,44.0275965,13.574,6.02492992616112,12.03,4.48092992616112,11.519,3.96992992616112,12.8416,,13.4114,5.86232992616112,3.0566596332862,-29.1431102752686,1.53745424747467,Gaia,5215.0,4.533,0.103,0.896,0.849,K1 V,-0.31785,0.17,0.01,-0.01,6.05,323.455108642578,322.053588867188,325.104705810547,1.01891911029816,LO,0.0,1.8053564,12.722215,2.1384,Qatar,2017,Other
WASP-20 b,WASP-20,2359978293137038720,2359978293136820864,211438925,,5.1605621,-23.9357894,10.675,3.02820803254272,9.701,2.05420803254272,9.39,1.74320803254272,10.248,,10.6503,3.00350803254272,3.46987995207612,1.25596010684967,0.850349843502045,Gaia,5940.0,4.231,-0.008,1.2,1.242,F9,0.239,,,,,338.343933105469,275.610229492188,420.833831787109,33.5291862487793,HI,4.6215968132019,4.89964477,15.46839337,3.07,SuperWASP,2015,WASP
WASP-1 b,WASP-1,2862548428079638912,2862548428079638912,57984377,,5.1669536,31.9899732,11.308,3.42898765386885,10.586,2.70698765386885,10.276,2.39698765386885,11.1355,,11.5349,3.65588765386885,2.61084527564282,-13.901665687561,0.588724970817566,Gaia,6110.0,4.207,0.17,1.24,1.47,F7 V,0.44091,3.4,1.2,-0.6,,376.532501220703,373.29425048828097,379.643646240234,1.07320821285248,LO,0.128084182739258,2.5199454,16.623,3.7121363,SuperWASP,2007,WASP
WASP-45 b,WASP-45,2308834780352875904,2308834780352875904,120610833,,5.2377567,-35.998465,11.801,5.15260701169561,10.753,4.10460701169561,10.294,3.64560701169561,11.5005,,12.0487,5.40030701169561,4.65197557825248,4.71316623687744,0.325943470001221,Gaia,5150.0,4.503,-0.03,0.85,0.855,K2 V,-0.33555,,,,,213.638046264648,212.41780090332,214.542343139648,1.67781376838684,HI,0.158624872565269,3.126089,10.603714,1.6824,SuperWASP,2011,WASP
HATS-30 b,HATS-30,4906145613282734208,4906145613282734208,281459670,,5.618525,-59.9425892,12.283,4.62300906398964,11.129,3.46900906398964,10.793,3.13300906398964,11.6714,,12.0815,4.42150906398964,2.91227856178965,0.213617458939552,0.749850511550903,Gaia,5943.0,4.425,0.06,1.093,1.061,G,0.09691,2.3,1.2,-1.2,,340.406768798828,338.962982177734,341.613708496094,0.935143530368805,LO,0.0552167929708958,3.1743516,13.170575,2.7504,HATSouth,2016,HAT
TOI-5322 b,TOI-5322,2780169409154216448,2780169409154216448,336691874,,6.5293373,14.3364283,12.733,4.35921707847977,11.301,2.92721707847977,10.9,2.52621707847977,12.0075,,12.4839,4.11011707847977,2.09134311208052,-2.26813650131226,1.02358996868134,Gaia,5692.0,4.11,-0.048,0.998,1.462,,0.3075,9.7,2.0,-1.8,,472.886138916016,469.438629150391,475.962860107422,1.04884719848633,LO,0.0793617889285088,5.4233207,16.6117094,5.111,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
HATS-49 b,HATS-49,4919770108539385472,4919770108539385472,281541545,,6.6135927,-56.3442798,14.988,7.45565837321504,12.692,5.15965837321504,11.938,4.40565837321504,13.7813,,14.5449,7.01255837321504,3.07811627298625,7.62577629089356,3.4443838596344,Gaia,4405.0,4.6036,0.208,0.7133,0.6977,,-0.78489,10.5,1.4,-2.0,,320.972869873047,319.395812988281,323.055053710938,1.03552341461182,LO,0.0,4.1480467,8.574885,2.346,HATSouth,2020,HAT
HATS-46 b,HATS-46,4919771654727611008,4919771654727611008,281541555,,6.7026401,-56.3161021,13.783,5.53145334106426,12.366,4.11445334106426,11.965,3.71345334106426,13.0417,,13.527,5.27545334106426,2.20325488267866,-32.4566917419434,1.86762714385986,Gaia,5495.0,4.542,-0.06,0.917,0.853,,-0.22988,3.0,3.4,-2.1,,447.001861572266,444.665191650391,449.347229003906,0.998945832252502,LO,0.0,4.7423729,10.121727,2.4336,HATSouth,2018,HAT
Qatar-5 b,Qatar-5,382111248777193216,382111248777193216,190998418,,7.0539375,42.0613451,12.614,4.77288427876253,11.348,3.50688427876253,10.956,3.11488427876253,12.0401,,12.5241,4.68298427876253,2.68630137514678,-9.33455753326416,0.966350018978119,Gaia,5747.0,4.427,0.377,1.128,1.076,G2 V,0.05614,0.53,0.004,-0.004,12.1,370.01824951171903,368.245330810547,371.531402587891,0.941434264183044,LO,0.0327185913920403,2.8792319,12.408363,2.9088,Qatar,2017,Other
TOI-178 f,TOI-178,2318295979126499200,2318295979126499200,251848941,,7.3020115,-30.4541159,11.955,7.96529044833651,9.372,5.38229044833651,8.656,4.66629044833651,10.42,,11.1523,7.16259044833651,15.9000308658958,57.566650390625,0.326954960823059,Gaia,4316.0,4.45,-0.23,0.647,0.662,K,-0.86646,6.0,6.8,-5.0,,62.7974357604981,62.700016021728494,62.8910827636719,1.54934394359589,HI,0.193579122424126,15.23335,2.417,2.348,Multiple Observatories,2021,Other
TOI-178 c,TOI-178,2318295979126499200,2318295979126499200,251848941,,7.3020115,-30.4541159,11.955,7.96529044833651,9.372,5.38229044833651,8.656,4.66629044833651,10.42,,11.1523,7.16259044833651,15.9000308658958,57.566650390625,0.326954960823059,Gaia,4316.0,4.45,-0.23,0.647,0.662,K,-0.86646,6.0,6.8,-5.0,,62.7974357604981,62.700016021728494,62.8910827636719,1.54934394359589,HI,0.193579122424126,3.238486,1.754,1.95,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-178 b,TOI-178,2318295979126499200,2318295979126499200,251848941,,7.3020115,-30.4541159,11.955,7.96529044833651,9.372,5.38229044833651,8.656,4.66629044833651,10.42,,11.1523,7.16259044833651,15.9000308658958,57.566650390625,0.326954960823059,Gaia,4316.0,4.45,-0.23,0.647,0.662,K,-0.86646,6.0,6.8,-5.0,,62.7974357604981,62.700016021728494,62.8910827636719,1.54934394359589,HI,0.193579122424126,1.9145601,1.2,1.692,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-178 g,TOI-178,2318295979126499200,2318295979126499200,251848941,,7.3020115,-30.4541159,11.955,7.96529044833651,9.372,5.38229044833651,8.656,4.66629044833651,10.42,,11.1523,7.16259044833651,15.9000308658958,57.566650390625,0.326954960823059,Gaia,4316.0,4.45,-0.23,0.647,0.662,K,-0.86646,6.0,6.8,-5.0,,62.7974357604981,62.700016021728494,62.8910827636719,1.54934394359589,HI,0.193579122424126,20.71663,2.939,2.167,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-178 e,TOI-178,2318295979126499200,2318295979126499200,251848941,,7.3020115,-30.4541159,11.955,7.96529044833651,9.372,5.38229044833651,8.656,4.66629044833651,10.42,,11.1523,7.16259044833651,15.9000308658958,57.566650390625,0.326954960823059,Gaia,4316.0,4.45,-0.23,0.647,0.662,K,-0.86646,6.0,6.8,-5.0,,62.7974357604981,62.700016021728494,62.8910827636719,1.54934394359589,HI,0.193579122424126,9.96318,2.301,2.501,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-178 d,TOI-178,2318295979126499200,2318295979126499200,251848941,,7.3020115,-30.4541159,11.955,7.96529044833651,9.372,5.38229044833651,8.656,4.66629044833651,10.42,,11.1523,7.16259044833651,15.9000308658958,57.566650390625,0.326954960823059,Gaia,4316.0,4.45,-0.23,0.647,0.662,K,-0.86646,6.0,6.8,-5.0,,62.7974357604981,62.700016021728494,62.8910827636719,1.54934394359589,HI,0.193579122424126,6.557569,2.695,2.346,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
HD 2685 b,HD 2685,4684205720883329920,4684205720883329920,267263253,HD 2685,7.3289156,-76.304032,9.595,3.12304245818811,8.825,2.35304245818811,8.595,2.12304245818811,9.2205,,9.52025,3.04829245818811,5.0666910775942,2.7419593334198,0.265972495079041,Gaia,6801.0,4.21,0.02,1.43,1.56,,0.66839,1.31,0.34,-0.47,,196.966110229492,196.517776489258,197.401184082031,0.889089286327362,LO,0.072454996407032,4.12688,16.14096,4.405,Transiting Exoplanet Survey Satellite (TESS),2019,TESS
WASP-190 b,WASP-190,4994237247949280000,4994237247949280000,116156517,,7.7095292,-40.5734613,11.645,2.96901323147108,10.859,2.18301323147108,10.65,1.97401323147108,11.3151,,11.6333,2.95731323147108,1.7910105428897,0.290839612483978,0.713976681232452,Gaia,6400.0,4.17,-0.02,1.35,1.6,F6 IV-V,0.69146,,,,,543.497253417969,536.156005859375,552.20947265625,1.19566798210144,LO,0.162026464939117,5.367753,12.89035,4.464,WASP-South,2019,WASP
TOI-6029 b,TOI-6029,430269136520563200,430269136520563200,419523962,,8.3862555,61.8607659,12.858,3.98861733275468,10.788,1.91861733275468,10.369,1.49961733275468,11.6593,,12.2681,3.39871733275468,1.67207080802575,-24.8664875030518,1.23283195495605,Gaia,6223.0,3.886,0.37,1.548,2.338,,0.79934,2.31,0.58,-0.19,,594.123229980469,590.602600097656,598.744079589844,0.854432940483093,LO,0.008921205997467,5.7987,14.39233122,5.684,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
HD 3167 b,HD 3167,2554032474712538880,2554032474712538880,318707987,HD 3167,8.7401487,4.3807215,8.97,5.59862443179321,7.548,4.17662443179321,7.066,3.69462443179321,8.2491,8.945,8.76221,5.39083443179321,21.1362836153372,19.3988170623779,0.196503907442093,Gaia,5261.0,4.53,0.04,0.837,0.88,K0 V,-0.27003,7.8,4.3,-4.3,23.52,47.2362174987793,47.2033958435059,47.2750854492188,0.811488211154938,LO,0.055735744535923,0.959641,1.67,1.609,K2,2016,K2
HD 3167 c,HD 3167,2554032474712538880,2554032474712538880,318707987,HD 3167,8.7401487,4.3807215,8.97,5.59862443179321,7.548,4.17662443179321,7.066,3.69462443179321,8.2491,8.945,8.76221,5.39083443179321,21.1362836153372,19.3988170623779,0.196503907442093,Gaia,5261.0,4.53,0.04,0.837,0.88,K0 V,-0.27003,7.8,4.3,-4.3,23.52,47.2362174987793,47.2033958435059,47.2750854492188,0.811488211154938,LO,0.055735744535923,29.8454,3.0,4.869,K2,2016,K2
TOI-2406 b,TOI-2406,2528453161326406016,2528453161326406016,212957629,,8.8060544,-3.3720833,,,12.633,8.91573014221849,11.894,8.17673014221849,14.3109,,15.6955,11.9782301422185,17.984697024301,,,,3100.0,5.041,-0.26,0.166,0.204,M4 V,-2.46218,,,,,55.3928833007813,55.274723052978494,55.5309104919434,1.05897951126099,LO,0.117530807852745,3.0766891,2.86,1.2491751,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
WASP-93 b,WASP-93,415703635408772480,415703635408772480,240681314,,9.4587443,51.288778,10.966,3.13853646437508,10.233,2.40553646437508,9.942,2.11453646437508,10.6496,,10.978,3.15053646437508,2.68816188853859,-0.705437660217285,0.391432613134384,Gaia,6700.0,4.197,0.07,1.334,1.524,F4,0.61784,0.7,0.65,-0.65,1.45,367.69921875,365.004150390625,371.142486572266,1.20925796031952,LO,0.153386399149895,2.7325321,17.900773,2.2344,SuperWASP,2016,WASP
HAT-P-19 b,HAT-P-19,365426679516816512,365426679516816512,267650535,,9.5165832,34.7114025,12.826,6.30941003326129,11.095,4.57841003326129,10.546,4.02941003326129,11.9475,,12.5567,6.04011003326129,4.95668312179594,-19.6074314117432,0.658921003341675,Gaia,4962.0,4.5687,0.166,0.807,0.773,K1,-0.48545,7.2,4.0,-4.0,35.5,201.056442260742,200.579391479492,201.606750488281,1.00402557849884,LO,0.0482817813754082,4.00878322,11.29865255,2.8368,HATNet,2010,HAT
HAT-P-16 b,HAT-P-16,381592313648387200,381592313648387200,191284318,,9.5730343,42.4630961,10.911,4.18781421680347,9.85,3.12681421680347,9.553001,2.82981521680347,10.374,,10.7568,4.03361421680347,4.49582904701943,-16.6666946411133,0.420249938964844,Gaia,6158.0,4.34,0.17,1.218,1.237,F8,0.29447,,,,,221.124649047852,220.243560791016,221.865097045898,0.832806289196014,LO,0.052506934851408,2.77596727,14.68376472,3.0624,HATNet,2010,HAT
K2-149 b,K2-149,2557342829345854208,2557342829345854208,429035886,,9.8217519,7.2769939,14.543,9.09086340767913,11.452,5.99986340767913,10.561,5.10886340767913,12.7422,13.787,13.7795,8.32736340767913,8.07043248573458,6.84195899963379,1.46213555335999,Gaia,3745.0,4.707,0.11,0.595,0.568,M1.0 V,-1.3098,,,,,123.147987365723,122.863159179688,123.490951538086,1.06649327278137,LO,0.0,11.332,1.64,,K2,2018,K2
TOI-1470 b,TOI-1470,427224073427887360,427224073427887360,284441182,,10.0891431,61.2133868,13.459,9.89128850836159,10.154,6.58628850836159,9.283,5.71528850836159,11.4752,,12.5555,8.98778850836159,19.3277315378551,3.53641676902771,0.504361808300018,Gaia,3709.0,4.77,0.0,0.471,0.469,M1.5 V,-1.42481,1.3,0.7,-0.7,29.0,51.7061614990234,51.6748237609863,51.7366142272949,1.14728248119354,LO,0.0812716782093048,2.527093,2.18,1.28,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-1470 c,TOI-1470,427224073427887360,427224073427887360,284441182,,10.0891431,61.2133868,13.459,9.89128850836159,10.154,6.58628850836159,9.283,5.71528850836159,11.4752,,12.5555,8.98778850836159,19.3277315378551,3.53641676902771,0.504361808300018,Gaia,3709.0,4.77,0.0,0.471,0.469,M1.5 V,-1.42481,1.3,0.7,-0.7,29.0,51.7061614990234,51.6748237609863,51.7366142272949,1.14728248119354,LO,0.0812716782093048,18.08816,2.47,2.7,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-244 b,TOI-244,5001098681543159040,5001098681543159040,118327550,,10.5697537,-36.7179743,12.861,11.1421979955564,8.827,7.10819799555636,7.97,6.25119799555636,10.3475,,11.553,9.83419799555636,45.299806632804,14.5140781402588,0.258723020553589,Gaia,3433.0,4.66,-0.39,0.428,0.426,M2.5 V,-1.64264,7.0,4.0,-4.0,53.3,22.0678691864014,22.0529365539551,22.0798931121826,1.25306963920593,LO,0.190419554710388,7.397225,1.52,1.7,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
LHS 1140 c,LHS 1140,2371032916186181760,2371032916186181760,92226327,,11.248632,-15.2741085,14.15,13.275563107012,9.612001,8.73756410701197,8.821,7.94656310701197,11.2991,,12.6706,11.796163107012,66.8287447208579,-13.7418222427368,0.4231838285923,Gaia,3096.0,5.041,-0.15,0.1844,0.2159,M4.5 V,-2.42022,5.0,,,131.0,14.9584770202637,14.9484119415283,14.9693222045898,1.52997195720673,HI,0.280284017324448,3.77794,1.272,1.13,Multiple Observatories,2018,Other
LHS 1140 b,LHS 1140,2371032916186181760,2371032916186181760,92226327,,11.248632,-15.2741085,14.15,13.275563107012,9.612001,8.73756410701197,8.821,7.94656310701197,11.2991,,12.6706,11.796163107012,66.8287447208579,-13.7418222427368,0.4231838285923,Gaia,3096.0,5.041,-0.15,0.1844,0.2159,M4.5 V,-2.42022,5.0,,,131.0,14.9584770202637,14.9484119415283,14.9693222045898,1.52997195720673,HI,0.280284017324448,24.73723,1.73,2.15,MEarth Project,2017,Other
K2-206 b,K2-206,2549096011101118080,2549096011101118080,257392778,,11.2564264,0.5931866,13.084,6.13377814889928,11.439,4.48877814889928,10.918,3.96777814889928,12.2619,12.826,12.8274,5.87717814889928,4.04945665309037,26.6260623931885,19.2168750762939,Gaia,5043.0,4.46,-0.14,0.789481,0.758046,,-0.43502,,,,,245.495971679688,244.289245605469,246.604034423828,0.962513983249664,LO,0.0602080374956131,18.294549,2.79522879,,K2,2018,K2
K2-217 b,K2-217,2556248536102683008,2556248536102683008,405333767,,11.2983678,6.4815879,12.264,4.3699754949539,11.009,3.1149754949539,10.679,2.7849754949539,11.601,12.062,12.0279,4.1338754949539,2.60090857961854,-6.77675437927246,0.645736396312714,Gaia,5967.0,4.17,0.04,1.102661,1.333718,,0.23239,,,,,379.144622802734,376.085113525391,382.010681152344,1.30360376834869,LO,0.116220124065876,14.074524,3.57854073,5.688,K2,2018,K2
K2-216 b,K2-216,2556231154370582400,2556231154370582400,418761354,,11.4802354,6.3470302,12.403,7.10278734426874,10.394,5.09378734426874,9.721,4.42078734426874,11.375,12.1,12.0576,6.75738734426874,8.68843201675857,-26.5300674438477,0.455073744058609,Gaia,4503.0,4.57,0.0,0.7,0.72,K5 V,-0.72125,,,,,114.826606750488,114.581489562988,115.122123718262,1.59653842449188,HI,0.140349194407463,2.1748,1.75,1.84,K2,2018,K2
K2-207 b,K2-207,2549087623029238400,2549087623029238400,257571543,,11.6996481,0.6406182,13.175,5.37390748794396,11.78,3.97890748794396,11.383,3.58190748794396,12.4815,12.971,12.9687,5.16760748794396,2.72236368784868,-3.07294297218323,1.61263239383698,Gaia,5522.0,4.41,0.11,0.941851,0.928158,,-0.17314,,,,,363.260772705078,360.919921875,366.047821044922,0.950433552265167,LO,0.0817278549075127,12.48749,2.60585269,4.296,K2,2018,K2
HD 5278 b,HD 5278,4617759514501503616,4617759514501503616,263003176,HD 5278,12.5467785,-83.7437671,7.94,4.14579450651513,6.949,3.15479450651513,6.605,2.81079450651513,7.4371,,7.80375,4.00954450651513,17.4176998193376,-30.232852935791,0.137739509344101,Gaia,6203.0,4.5,-0.12,1.126,1.194,F V,0.28035,3.0,1.1,-1.1,16.8,57.3906440734863,57.3233528137207,57.4383888244629,1.01340532302856,LO,0.138034611940384,14.339156,2.45,4.8,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
K2-385 b,K2-385,2552976943549668352,2552976943549668352,257429687,,12.6140752,5.8712567,14.645,6.62512968807546,12.816,4.79612968807546,12.237,4.21712968807546,13.7196,14.339,14.3355,6.31562968807546,2.4449782820618,7.963480949401859,2.48746562004089,Gaia,4844.0,4.64,-0.224,0.927,0.761,,-0.51852,,,,,401.766815185547,398.150726318359,405.415496826172,0.95748770236969,LO,0.0,2.380867,1.539,1.92,K2,2022,K2
K2-220 b,K2-220,2581918597853527424,2581918597853527424,266012991,,12.7700071,9.5167694,11.873,5.05098068056762,10.582,3.75998068056762,10.161,3.33898068056762,11.2429,11.752,11.7214,4.89938068056762,4.27572863422782,13.9410057067871,0.544012606143951,Gaia,5612.0,4.45,-0.05,0.91,1.026,,-0.06106,,,,,231.421585083008,230.219253540039,232.393341064453,1.31194865703583,LO,0.155986800789833,13.68186,2.37,3.12,K2,2018,K2
K2-203 b,K2-203,2535901287452166400,2535901287452166400,333605244,,12.7736909,-1.1958844,12.391,6.25839241521202,10.773,4.64039241521202,10.206,4.07339241521202,11.5474,12.114,12.1219,5.98929241521202,5.91470305338289,20.2680568695068,0.641880631446838,Gaia,5026.0,4.57,-0.021,0.793,0.765,,-0.47237,6.9,4.6,-4.5,,168.469589233398,167.977172851563,168.954742431641,1.09847700595856,LO,0.0822186321020126,9.6952,1.26549392,3.1032,K2,2018,K2
K2-218 b,K2-218,2556472119215785728,2556472119215785728,266014458,,12.809613,6.8464327,12.92,4.99136950296523,11.563,3.63436950296523,11.206,3.27736950296523,12.2418,12.713,12.7137,4.78506950296523,2.57028754709624,-0.103353902697563,1.91524219512939,Gaia,5757.0,4.45,0.25,1.047488,1.008231,,-0.00284,,,,,385.235321044922,382.522918701172,388.086578369141,1.04794633388519,LO,0.0722419396042824,8.679885,2.56948149,3.84,K2,2018,K2
TOI-4638.01,TOI-4638,2775311010868306048,2775311010868306048,58824746,,12.8206627,12.7879858,11.657,5.50745749782938,10.103,3.95345749782938,9.696,3.54645749782938,10.7434,,11.2097,5.06015749782938,5.85293306218182,-21.2363090515137,0.454454630613327,Gaia,5700.0,4.54131,,1.02,0.895,,-0.11858,,,,,169.788589477539,169.228607177734,170.409561157227,0.973850011825562,LO,0.128560155630112,10.283918787,2.933,3.7225,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-3980 b,TOI-3980,426758571995216768,426758571995216768,312548829,,12.8419374,59.5758606,12.549,4.07671740605174,11.133,2.66071740605174,10.741,2.26871740605174,11.863,,12.3751,3.90281740605174,2.00667860286368,-43.0846748352051,1.19582486152649,Gaia,5840.0,4.106,0.188,1.24,1.626,,0.44248,4.7,3.1,-1.3,,494.83056640625,491.841003417969,497.803192138672,0.926794409751892,LO,0.0362733267247677,3.6089254,14.4595851,2.359,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
