pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,abs_vmag,sy_jmag,abs_jmag,sy_kmag,abs_kmag,sy_tmag,sy_kepmag,sy_gaiamag,abs_gaiamag,st_parallax_mas,st_rv,st_e_rv,st_rv_source,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,bj_dist_pc,bj_dist_pc_lo,bj_dist_pc_hi,ruwe,ruwe_quality,gaia_aen,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
CoRoT-22 b,CoRoT-22,4285572454508522496,4285572454508522496,323094535,,280.6671392,6.2191669,13.82,4.82496574541704,12.414,3.41896574541704,11.988,2.99296574541704,13.2006,,13.7305,4.73546574541704,1.55713537278643,26.8483333587647,5.84113502502441,Gaia,5939.0,4.361,0.17,1.099,1.136,G3 V,0.01352,3.3,2.0,-2.0,,629.51611328125,622.687255859375,636.283813476563,1.05560290813446,LO,0.0,9.75598,4.88,4.492,CoRoT,2014,CoRoT
TOI-5181 A b,TOI-5181 A,4531901709506539776,4531901709506539776,346667887,,280.6774738,21.6998203,12.301,3.93637149298536,11.026,2.66137149298536,10.627,2.26237149298536,11.7242,,12.2189,3.85427149298536,2.10644378300896,-13.5076723098755,0.562382221221924,Gaia,6060.0,4.163,0.208,1.25,1.53,,0.45788,4.1,1.5,-1.1,,470.896759033203,467.245483398438,474.01239013671903,1.23747098445892,LO,0.105759873986244,3.8922295,13.34989601,2.945,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
CoRoT-11 b,CoRoT-11,4285511294172309504,4285511294172309504,110178537,,280.6872998,5.9376586,12.897,3.86077973513795,11.589,2.55277973513795,11.248,2.21177973513795,12.419,,12.841,3.80477973513795,1.53388824064662,9.26568508148193,3.37747025489807,Gaia,6440.0,4.22,-0.03,1.27,1.37,F6 V,0.37753,2.0,1.0,-1.0,,641.570007324219,635.634094238281,647.024841308594,0.926311492919922,LO,0.0531122013926506,2.99433,16.03,2.5009,CoRoT,2010,CoRoT
Kepler-165 c,Kepler-165,2119814820141727232,2119814820141727232,123129877,,280.69092,47.8096702,15.05,6.32793457564979,13.43,4.70793457564979,12.843,4.12093457564979,14.2294,14.802,14.7945,6.07243457564979,1.77652642467123,-23.1181335449219,5.7435827255249,Gaia,5211.0,4.542,-0.25,0.746,0.77,,-0.4723,,,,,555.153503417969,549.894287109375,559.425720214844,0.977275311946869,LO,0.0,15.31299,2.23,3.028,Kepler,2014,Kepler
Kepler-165 b,Kepler-165,2119814820141727232,2119814820141727232,123129877,,280.69092,47.8096702,15.05,6.32793457564979,13.43,4.70793457564979,12.843,4.12093457564979,14.2294,14.802,14.7945,6.07243457564979,1.77652642467123,-23.1181335449219,5.7435827255249,Gaia,5211.0,4.542,-0.25,0.746,0.77,,-0.4723,,,,,555.153503417969,549.894287109375,559.425720214844,0.977275311946869,LO,0.0,8.180848,2.32,2.869,Kepler,2014,Kepler
Kepler-1907 c,Kepler-1907,2119409512668086656,2119409512668086656,123130285,,280.7085829,47.3279236,13.989,6.68714682833454,12.268,4.96614682833454,11.726,4.42414682833454,13.1513,13.752,13.7309,6.42904682833454,3.43995717290606,-13.656343460083,2.59238910675049,Gaia,5159.0,4.508,-0.16,0.752,0.8,,-0.62479,,,,,288.649383544922,287.602783203125,289.586761474609,1.03124177455902,LO,0.0,14.86390018,1.15547044,2.806,Kepler,2021,Kepler
Kepler-1907 b,Kepler-1907,2119409512668086656,2119409512668086656,123130285,,280.7085829,47.3279236,13.989,6.68714682833454,12.268,4.96614682833454,11.726,4.42414682833454,13.1513,13.752,13.7309,6.42904682833454,3.43995717290606,-13.656343460083,2.59238910675049,Gaia,5159.0,4.508,-0.16,0.752,0.8,,-0.62479,,,,,288.649383544922,287.602783203125,289.586761474609,1.03124177455902,LO,0.0,5.652450085,0.86973029,2.062,Kepler,2021,Kepler
CoRoT-9 b,CoRoT-9,4285571629874670080,4285571629874670080,130162252,,280.7866461,6.2040783,13.637,5.52061502058808,12.175,4.05861502058808,11.688,3.57161502058808,12.9497,,13.5008,5.38441502058808,2.34123217366963,19.1168956756592,2.80134534835815,Gaia,5625.0,4.54,-0.01,0.96,0.96,G3 V,-0.25426,6.0,3.0,-3.0,,420.026794433594,417.387847900391,422.950622558594,0.95344489812851,LO,0.0,95.272656,11.948794,8.268,CoRoT,2009,CoRoT
Kepler-439 b,Kepler-439,2117331813650826624,2117331813650826624,123202589,,280.8015188,44.0339733,14.654,5.27578460835415,13.344,3.96578460835415,12.919,3.54078460835415,14.0429,14.56,14.5454,5.16718460835415,1.30342398423899,-36.044742584228494,4.48996210098267,Gaia,5431.0,4.514,0.02,0.884,0.866,,-0.236,7.2,3.6,-3.9,,751.005432128906,742.160949707031,759.680725097656,0.99382871389389,LO,0.0,178.1396,2.24,9.59,Kepler,2015,Kepler
Kepler-1386 b,Kepler-1386,2116750034560253184,2116750034560253184,123201193,,280.8233646,42.6360518,14.597,4.98024255345522,13.211,3.59424255345522,12.87,3.25324255345522,13.9202,14.455,14.4168,4.80004255345522,1.16694874715933,-44.5606689453125,6.37539529800415,Gaia,5733.0,4.41,0.11,1.02,1.03,,0.00882,5.01,3.27,-3.07,,838.207397460938,830.412658691406,849.092407226563,0.980139672756195,LO,0.0,6.73972381,1.24,4.106,Kepler,2016,Kepler
TOI-1438 c,TOI-1438,2268101727131230464,2268101727131230464,229650439,,280.9237844,74.9378327,10.957,5.73929717238723,9.584,4.36629717238723,9.09,3.87229717238723,10.3237,,10.8549,5.63719717238723,9.03117069889252,-29.4044437408447,0.339902073144913,Gaia,5230.0,4.5,0.03,0.876,0.82,K0 V,-0.34679,,,,,110.545372009277,110.416191101074,110.671287536621,0.853397011756897,LO,0.0690062046051025,9.428089,2.75,1.67,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
TOI-1438 b,TOI-1438,2268101727131230464,2268101727131230464,229650439,,280.9237844,74.9378327,10.957,5.73929717238723,9.584,4.36629717238723,9.09,3.87229717238723,10.3237,,10.8549,5.63719717238723,9.03117069889252,-29.4044437408447,0.339902073144913,Gaia,5230.0,4.5,0.03,0.876,0.82,K0 V,-0.34679,,,,,110.545372009277,110.416191101074,110.671287536621,0.853397011756897,LO,0.0690062046051025,5.13967,3.04,1.04,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
Kepler-1782 b,Kepler-1782,2117335077826003840,2117335077826003840,123202646,,280.926162,44.0878036,13.875,6.46592864727153,12.184,4.77492864727153,11.576,4.16692864727153,13.0931,13.708,13.7041,6.29502864727153,3.27108294720264,0.940074801445007,2.39368987083435,Gaia,4931.0,4.605,0.0,0.794,0.734,,-0.55623,,,,,303.259399414063,301.818695068359,304.574035644531,1.11238968372345,LO,0.0,5.756229877,2.22927435,1.071,Kepler,2021,Kepler
Kepler-1872 b,Kepler-1872,2116889775616597120,2116889775616597120,123230993,,281.0491988,43.3225996,15.966,6.38834162506307,14.357,4.77934162506307,13.71,4.13234162506307,15.1718,15.768,15.7802,6.20254162506307,1.18969431041452,-22.786644,0.088097125,APOGEE,5223.0,4.505,0.32,0.913,0.885,,-0.50562,,,,,823.249877929688,809.707153320313,840.863098144531,0.977894306182861,LO,0.0,3.825910091,2.38421141,1.8057,Kepler,2021,Kepler
Kepler-1735 b,Kepler-1735,2119222252094710912,2119222252094710912,123206821,,281.0503476,47.1882005,15.896,8.96919057188089,13.035,6.10819057188089,12.247,5.32019057188089,14.2628,15.233,15.2237,8.29689057188089,4.0902568641274,0.802366733551025,4.84116411209106,Gaia,3975.0,4.753,-0.34,0.535,0.509,,-1.19302,,,,,242.863296508789,241.577789306641,244.072875976563,1.05967509746552,LO,0.0858903601765633,7.71792984,1.19429134,1.84,Kepler,2021,Kepler
CoRoT-6 b,CoRoT-6,4285684673395749120,4285684673395749120,130502317,,281.0725563,6.6632062,13.961,4.98581313432361,12.518,3.54281313432361,12.119,3.14381313432361,13.2491,,13.7459,4.77071313432361,1.56411859673042,-20.7474269866943,3.15131115913391,Gaia,6090.0,4.43,-0.2,1.05,1.025,F9 V,0.02573,,,,6.4,623.788513183594,617.526306152344,630.231262207031,1.02423787117004,LO,0.0,8.886593,13.068,4.08,CoRoT,2009,CoRoT
Kepler-1105 b,Kepler-1105,2116733198288204288,2116733198288204288,123231917,,281.1117588,42.4549698,15.315,7.82675958366326,13.147,5.65875958366326,12.371,4.88275958366326,14.3245,15.18,15.1422,7.65395958366326,3.15377173928762,-19.1308212280273,11.5099811553955,Gaia,4299.0,4.62,0.28,0.71,0.68,,-0.94508,8.71,3.91,-4.69,,314.519866943359,312.536102294922,316.338958740234,0.957855403423309,LO,0.0,4.421572182,2.01,2.0749,Kepler,2016,Kepler
Kepler-431 b,Kepler-431,2116862833283266432,2116862833283266432,123231081,,281.1123072,43.2277663,12.139,3.7124324796502,10.945,2.5184324796502,10.649,2.2224324796502,11.5319,11.973,11.9291,3.5025324796502,2.0249033290597,-10.4214811325073,0.784868478775024,Gaia,6004.0,4.4,0.07,1.071,1.092,,0.49839,,,,,484.522003173828,482.59014892578097,486.656524658203,0.90312123298645,LO,0.0652208179235458,6.803,0.764,4.608,Kepler,2015,Kepler
Kepler-431 d,Kepler-431,2116862833283266432,2116862833283266432,123231081,,281.1123072,43.2277663,12.139,3.7124324796502,10.945,2.5184324796502,10.649,2.2224324796502,11.5319,11.973,11.9291,3.5025324796502,2.0249033290597,-10.4214811325073,0.784868478775024,Gaia,6004.0,4.4,0.07,1.071,1.092,,0.49839,,,,,484.522003173828,482.59014892578097,486.656524658203,0.90312123298645,LO,0.0652208179235458,11.922,1.11,4.932,Kepler,2015,Kepler
Kepler-431 c,Kepler-431,2116862833283266432,2116862833283266432,123231081,,281.1123072,43.2277663,12.139,3.7124324796502,10.945,2.5184324796502,10.649,2.2224324796502,11.5319,11.973,11.9291,3.5025324796502,2.0249033290597,-10.4214811325073,0.784868478775024,Gaia,6004.0,4.4,0.07,1.071,1.092,,0.49839,,,,,484.522003173828,482.59014892578097,486.656524658203,0.90312123298645,LO,0.0652208179235458,8.703,0.668,4.807,Kepler,2015,Kepler
