hostname,tic_id,mass,age_yr,feh,av,chi2_phot,chi2_prior,chi2_total,chi2_reduced,n_obs_bands,distance_pc,model_G,model_BP,model_RP,model_J,model_H,model_K,model_W1
TOI-1470,284441182,0.527393736295004,1008493144.8614477,-6.943168309401151e-05,0.6022479527436297,15.336076306842761,0.1766011697278834,15.512677476570644,5.170892492190215,7,51.7061614990234,8.969704446177364,10.170536974403616,7.856106044267936,6.625739773547551,5.943684030519944,5.693527595378101,5.607901002290893
TOI-244,118327550,0.7595317707711066,28183833.46000174,0.5,3.0,10936.442157766895,3.939902106282405,10940.382059873176,3646.7940199577256,7,22.0678691864014,9.594923801887983,11.31056720034032,8.051563809557233,6.0057071588023225,5.082213611785565,4.699065417417131,4.591178011649446
LHS 1140,92226327,0.1844,4999999999.999999,-0.15,0.0,38135655.20860769,,,,6,14.9584770202637,108.95117272971584,111.98224314005282,106.5654559899007,8.850048680682654,8.294267165852784,8.02444684339951,39.19254176130795
HD 5278,263003176,1.1453927373199493,2617884890.5618596,0.10737481700140863,0.0,2.5276013092874328,0.1727464243952194,2.7003477336826522,0.9001159112275507,7,57.3906440734863,4.025923978101533,4.293327839013788,3.582350448904532,3.122229370796263,2.885695501757279,2.821699322471273,2.79413493433528
K2-203,333605244,0.808026748593296,7213008075.3233,0.3681594853673886,0.0,3.1465428001591573,0.1563010620629576,3.302843862222115,1.1009479540740383,7,168.469589233398,5.985322952447309,6.467745426377924,5.327467913394858,4.625505429439206,4.171727554356437,4.059980039264925,4.022639878498587
TOI-3980,312548829,1.1640321790130006,5888281551.680811,0.24137432785683405,0.5482878502378984,2.535731146818811,0.1555515672080017,2.691282714026813,0.8970942380089376,7,494.83056640625,3.886845256566647,4.303728583708718,3.3239402947372203,2.66603976156313,2.34694150381592,2.244247566037793,2.212391914854331
TOI-5301,58825110,1.4830143768715576,4184404771.497639,-0.05485936939552772,0.0,1.8580231893489252,2.550949957618654,4.408973146967579,1.4696577156558597,7,586.514221191406,2.727402721617887,3.007233919990975,2.269449663432903,1.7899377886906518,1.551557713655743,1.488879928387436,1.4624653533998955
HAT-P-28,53728859,1.0147799138576863,6149518331.463674,0.3597260572290693,0.42525209654758556,0.6809769465281993,0.057935764206556405,0.7389127107347557,0.24630423691158523,7,401.219512939453,4.8361956825160926,5.265525512453552,4.250949297261373,3.5487975772280795,3.1870405788917577,3.081598131976533,3.0496006467088557
TOI-1472,306955329,0.8821562945002402,3094282945.440133,0.41436205925286074,0.101487759324471,1.0487511086037649,0.021192459102956144,1.069943567706721,0.35664785590224035,7,121.546607971191,5.694586731494346,6.1471522753610985,5.062686887447891,4.380492284409019,3.9521096553390973,3.8446887142856507,3.8101064266920743
TOI-2420,268532343,1.158,5299999999.99999,,0.0,1e+30,3.7286003723336886e-29,1e+30,3.333333333333333e+29,7,438.834991455078,,,,,,,
HATS-68,322307342,1.3509998089352397,3053046316.3162866,0.31315662897797764,0.11050455362694062,2.1162965664831823,0.10089410184396075,2.217190668327143,0.7390635561090476,7,596.148132324219,3.28022866152123,3.560885118203188,2.8278665421942453,2.38343191697066,2.1342239449950986,2.0616922744434323,2.0324656271227806
HATS-71,234523599,0.6042768006046529,112201843.84748252,-1.0,2.216030104743597,878.2760585473513,5.620420179818435,883.8964787271698,294.6321595757233,7,139.786041259766,9.747048051942395,11.15673870807477,8.473946532616274,6.644670405973702,5.732135438550657,5.4462214171823335,5.834166411709814
HD 6061,352413427,1.055840249160759,2238721136.4769783,0.012972425288899225,0.0,1.9249010836536287,0.02019411278202647,1.945095196435655,0.6483650654785517,7,67.5534133911133,4.563387055611024,4.865170931332984,4.083032902839301,3.573648346840854,3.3050922999452976,3.236683541176876,3.2093499051268948
TOI-3693,240823272,0.8640185013559774,2966700645.7566347,0.17972564993387666,0.047022789822547505,2.1951088557513003,0.012081595515151543,2.207190451266452,0.7357301504221506,7,174.796661376953,5.740683756444122,6.191719758702536,5.109246003459751,4.458288577790768,4.04123426494754,3.939387200692277,3.9063958982285283
TOI-6651,174328045,1.3230202861710405,3204902435.002,0.17672263367362986,0.34369399722695293,1.2710323254202025,0.4216659283224265,1.692698253742629,0.564232751247543,7,209.903305053711,3.4312132576608,3.7676791784790638,2.940771153102667,2.4152519503985688,2.1535043524749193,2.0694335380212867,2.0390602781775886
TOI-2046,468574941,1.227010837268447,537591798.1482633,0.13503417808777457,0.3267569883098357,3.480916719729125,0.08894387937241971,3.5698605991015446,1.1899535330338482,7,284.117218017578,4.136016467736508,4.459901688801586,3.657369942883626,3.154994699140032,2.9055746122588895,2.824424104743403,2.7942387864153684
K2-222,257774438,1.0181623716231596,6451918894.260972,-0.18244998390688136,0.0,3.5999853722405253,0.16375182598459986,3.763737198225125,1.2545790660750418,7,99.2678527832031,4.383193858804578,4.680109001435312,3.907835206094745,3.4277957648731956,3.1789579550937965,3.116692581112753,3.0895049163141604
